date,amount,category,description
28-07-2026,125.65,Income,Salary
28-06-2026,200.00,Income,Bonus
29-07-2026,187.78,Expense,Entertainment
01-08-2026,2500.00,Income,Monthly Salary
03-08-2026,75.50,Expense,Groceries
05-08-2026,45.00,Expense,Transport
07-08-2026,120.00,Expense,Restaurant
10-08-2026,300.00,Income,Freelance Project
12-08-2026,60.25,Expense,Internet Bill
15-08-2026,150.00,Expense,Shopping
18-08-2026,500.00,Income,Investment Return
20-08-2026,90.00,Expense,Electricity Bill
22-08-2026,35.75,Expense,Coffee
25-08-2026,400.00,Income,Side Business
27-08-2026,220.00,Expense,Rent Payment
30-08-2026,55.00,Expense,Mobile Bill
02-09-2026,2800.00,Income,Monthly Salary
05-09-2026,180.00,Expense,Medical
08-09-2026,95.50,Expense,Gas
12-09-2026,350.00,Income,Fiverr Work
15-09-2026,130.00,Expense,Clothing
18-09-2026,70.00,Expense,Books
22-09-2026,600.00,Income,Bonus
25-09-2026,250.00,Expense,Travel
28-09-2026,40.00,Expense,Subscription
